seed,subset,group,direction,stage,epoch,delta,ci_lo,ci_hi,median_cs,median_noswitch,mean_delta,n
s42,all,seen_embedded,eng-zho,stage2,5,0.268867924528302,0.1910377358490566,0.3231132075471697,0.8584905660377359,0.5896226415094339,0.1807314551563711,219
s42,all,seen_embedded,eng-zho,stage2,10,0.2783018867924528,0.1862617924528301,0.3349056603773584,0.8537735849056604,0.5754716981132075,0.1742698371672266,219
s42,all,seen_embedded,eng-zho,stage3,1,0.2759433962264151,0.1745283018867924,0.3609080188679242,0.8419811320754718,0.5660377358490566,0.2007409321960884,219
s42,all,seen_embedded,eng-zho,stage3,5,0.25,0.1839622641509434,0.2995283018867924,0.8490566037735849,0.5990566037735849,0.1728267424829844,219
s42,all,seen_embedded,eng-zho,stage3,10,0.2334905660377357,0.1509433962264151,0.2971698113207547,0.8254716981132075,0.5919811320754718,0.1710067200827086,219
s42,all,seen_embedded,nld-eng,stage1,0,0.0,0.0,0.0,0.7958762886597939,0.7958762886597939,0.0,245
s42,all,seen_embedded,nld-eng,stage1,1,0.0350515463917525,0.002061855670103,0.0845360824742267,0.9505154639175256,0.9154639175257732,0.0556280244056385,245
s42,all,seen_embedded,nld-eng,stage1,5,0.0061855670103093,-0.002061855670103,0.0329896907216494,0.9896907216494846,0.9835051546391752,0.0272754050073636,245
s42,all,seen_embedded,nld-eng,stage1,10,0.0041237113402061,-0.0041237113402061,0.0288659793814433,0.9917525773195875,0.9876288659793816,0.0305912055543867,245
s42,all,seen_embedded,nld-eng,stage2,1,0.0061855670103092,0.0,0.0268041237113401,0.9958762886597938,0.9896907216494846,0.0289080580685882,245
s42,all,seen_embedded,nld-eng,stage2,5,0.0041237113402061,0.0,0.0103092783505155,0.9958762886597938,0.9917525773195875,0.0233115926783085,245
s42,all,seen_embedded,nld-eng,stage2,10,0.0041237113402061,0.0,0.0123711340206185,0.9958762886597938,0.9917525773195875,0.0241279192089208,245
s42,all,seen_embedded,nld-eng,stage3,1,0.0041237113402061,0.0,0.0123711340206186,0.9958762886597938,0.9917525773195875,0.0245823690300861,245
s42,all,seen_embedded,nld-eng,stage3,5,0.0041237113402061,0.0,0.0103092783505155,0.9979381443298968,0.9938144329896909,0.0194824321481169,245
s42,all,seen_embedded,nld-eng,stage3,10,0.0041237113402061,0.0,0.0123711340206186,0.9979381443298968,0.9938144329896909,0.0193646118241112,245
s42,all,seen_embedded,zho-eng,stage1,0,0.0,0.0,0.0,0.4577205882352941,0.4577205882352941,0.0,279
s42,all,seen_embedded,zho-eng,stage1,1,0.1047794117647058,0.0164981617647058,0.1709558823529411,0.65625,0.5514705882352942,0.0664004849251528,279
s42,all,seen_embedded,zho-eng,stage1,5,0.1709558823529411,0.1029411764705882,0.244485294117647,0.7610294117647058,0.5900735294117647,0.1330513388150959,279
s42,all,seen_embedded,zho-eng,stage1,10,0.21875,0.1415441176470588,0.2647058823529412,0.7977941176470589,0.5790441176470589,0.1462220640944549,279
s42,all,seen_embedded,zho-eng,stage2,1,0.1893382352941176,0.119485294117647,0.2665441176470587,0.8180147058823529,0.6286764705882353,0.1679448661184904,279
s42,all,seen_embedded,zho-eng,stage2,5,0.2408088235294118,0.1801011029411764,0.2941636029411762,0.8713235294117647,0.6305147058823529,0.1813989036474805,279
s42,all,seen_embedded,zho-eng,stage2,10,0.2279411764705882,0.1709558823529412,0.2959558823529412,0.8768382352941176,0.6488970588235294,0.1867818363904702,279
s42,all,seen_embedded,zho-eng,stage3,1,0.2095588235294118,0.1691176470588234,0.2794577205882351,0.8713235294117647,0.6617647058823529,0.1784471853257432,279
s42,all,seen_embedded,zho-eng,stage3,5,0.2518382352941176,0.1856617647058822,0.3143382352941175,0.8823529411764706,0.6305147058823529,0.1956106367278094,279
s42,all,seen_embedded,zho-eng,stage3,10,0.2591911764705882,0.1984834558823529,0.3125,0.8805147058823529,0.6213235294117647,0.2005587181109002,279
s42,all,never_embedded,pooled,stage1,0,0.0,0.0,0.0,0.6627358490566038,0.6627358490566038,0.0,1102
s42,all,never_embedded,pooled,stage1,1,0.0519870399606938,0.017616572628343,0.0792580175103977,0.7725752752548115,0.7205882352941176,0.0366780769963317,1102
s42,all,never_embedded,pooled,stage1,5,0.060748473917869,0.0364833344894561,0.0835215425865447,0.8933823529411765,0.8326338790233074,0.0609855104744907,1102
s42,all,never_embedded,pooled,stage1,10,0.0632665976600347,0.0451511634605143,0.0809160232796373,0.9038568257491676,0.8405902280891329,0.0661143993157969,1102
s42,all,never_embedded,pooled,stage2,1,0.0610259433962264,0.0445454425995743,0.0930863537794275,0.9080882352941176,0.8470622918978912,0.0717253696533046,1102
s42,all,never_embedded,pooled,stage2,5,0.0813852663706992,0.0593502792773531,0.1053593123539174,0.9356617647058824,0.8542764983351832,0.0824322844269985,1102
s42,all,never_embedded,pooled,stage2,10,0.0759274495917347,0.0548935515970868,0.0990094912231122,0.935961193967672,0.8600337443759374,0.0785775228248165,1102
s42,all,never_embedded,pooled,stage3,1,0.0723328246392897,0.0543078164181593,0.0952875459239499,0.9338235294117648,0.861490704772475,0.0797348332729609,1102
s42,all,never_embedded,pooled,stage3,5,0.0636141780987938,0.0432386166168253,0.0863317109770752,0.9440777166069806,0.8804635385081867,0.0788675506162797,1102
s42,all,never_embedded,pooled,stage3,10,0.0667985472563235,0.0421658140997726,0.0882531095142477,0.9438630616611554,0.8770645144048319,0.0754901776982217,1102
s42,all,never_embedded,eng-nld,stage1,0,0.0,0.0,0.0,0.7620396600566572,0.7620396600566572,0.0,359
s42,all,never_embedded,eng-nld,stage1,1,0.0495750708215296,0.0141643059490084,0.0807365439093484,0.8881019830028328,0.8385269121813032,0.0359631333496412,359
