model,group,seed,layer,pair,retrieval_p1,retrieval_p1_nn,cos_gap,cka,centroid_dist,median_pct_rank,mean_pct_rank,mrr,retrieval_p5,median_rank
cur_cs-s43-s1e0,switched,43,0,nld-zho,0.0466399197592778,0.0351053159478435,0.0048085451126098,0.5045777559280396,0.1178504005074501,0.8293172690763052,0.7556776755970723,0.0742248018645813,0.0852557673019057,171.0
cur_cs-s43-s1e0,switched,43,1,eng-nld,0.2437311935807422,0.179037111334002,0.01038658618927,0.3692594468593597,0.0749498531222343,0.966867469879518,0.8499610276612971,0.3013509865021393,0.354062186559679,34.0
cur_cs-s43-s1e0,switched,43,1,eng-zho,0.037111334002006,0.025075225677031,0.0042358636856079,0.3273419737815857,0.0999648720026016,0.7389558232931727,0.6692220235002194,0.0590409229008806,0.0682046138415245,261.0
cur_cs-s43-s1e0,switched,43,1,nld-zho,0.0310932798395185,0.0205616850551654,0.0039155483245849,0.3176362812519073,0.1068895459175109,0.7223895582329317,0.6607417634429392,0.0520873667570952,0.0586760280842527,277.5
cur_cs-s43-s1e0,switched,43,2,eng-nld,0.1825476429287863,0.1459378134403209,0.0109162330627441,0.2640656530857086,0.0732770711183548,0.9186746987951808,0.7881581491462338,0.2276117532675284,0.2647943831494483,82.0
cur_cs-s43-s1e0,switched,43,2,eng-zho,0.025075225677031,0.018555667001003,0.0039206147193908,0.2338745594024658,0.093175008893013,0.6932730923694779,0.6354258558808957,0.0418533817867972,0.0451354062186559,306.5
cur_cs-s43-s1e0,switched,43,2,nld-zho,0.025075225677031,0.014543630892678,0.0035914182662963,0.2210742086172104,0.0977396219968795,0.6666666666666667,0.6200066061638733,0.0407207793778391,0.0451354062186559,333.0
cur_cs-s43-s1e0,switched,43,3,eng-nld,0.1594784353059177,0.1268806419257773,0.0129072070121765,0.2256950736045837,0.077362336218357,0.8870481927710844,0.7620069042468771,0.1970979642216237,0.2226680040120361,113.5
cur_cs-s43-s1e0,switched,43,3,eng-zho,0.0200601805416248,0.0165496489468405,0.0044766664505004,0.1968603432178497,0.0920042395591735,0.6767068273092369,0.6260840755197319,0.0355270151089626,0.0391173520561685,323.0
cur_cs-s43-s1e0,switched,43,3,nld-zho,0.0190571715145436,0.0125376128385155,0.0035968422889709,0.1813006997108459,0.098668523132801,0.643574297188755,0.6083838865995577,0.0350798779983402,0.0381143430290872,356.0
cur_cs-s43-s1e0,switched,43,4,eng-nld,0.1404212637913741,0.1178535606820461,0.0128173232078552,0.2017756849527359,0.0790775939822197,0.857429718875502,0.7406939694585766,0.1757641542683122,0.1995987963891675,143.0
