lang,condition,layer,n_pairs,emb_cos,ctl_cos,cohen_d_cos,p_cos,emb_l2,ctl_l2,cohen_d_l2,p_l2,seed
zho,curriculum,1,279,0.4324503,0.43737745,-0.1200095638632774,0.14436334,4.7307515,4.6417055,0.1216101124882698,0.031094123,43
zho,curriculum,2,279,0.42802092,0.4335591,-0.1476993113756179,0.06727794,6.5634346,6.4636893,0.1172716617584228,0.05618835,43
zho,curriculum,3,279,0.45002976,0.45532402,-0.1429929584264755,0.06863675,7.4875374,7.39334,0.0953810736536979,0.12380845,43
zho,curriculum,4,279,0.47251546,0.47542685,-0.0795969143509864,0.30278096,8.313181,8.233599,0.0708436444401741,0.26825553,43
zho,curriculum,5,279,0.48544163,0.48691282,-0.0399457477033138,0.5939353,9.106684,9.0555105,0.0403381660580635,0.5419036,43
zho,curriculum,6,279,0.49045914,0.49144053,-0.0259585697203874,0.73547935,9.653224,9.62272,0.0219921320676803,0.7438664,43
zho,curriculum,7,279,0.5045883,0.50440174,0.0048472764901816,0.9497601,9.854295,9.798057,0.0420221611857414,0.5201958,43
zho,curriculum,8,279,0.5103981,0.5090611,0.0319359339773654,0.679772,9.909173,9.836936,0.0551917068660259,0.39317846,43
zho,curriculum,9,279,0.5224543,0.51898426,0.0768888592720031,0.3101538,9.860693,9.775347,0.0668603330850601,0.28894833,43
zho,curriculum,10,279,0.53442013,0.53021264,0.0851915776729583,0.26356232,9.728176,9.6236105,0.0837739631533622,0.1829265,43
zho,curriculum,11,279,0.5557043,0.5505879,0.095311015844345,0.20507582,9.612531,9.497054,0.0913177579641342,0.1487623,43
zho,curriculum,12,279,0.597833,0.59194726,0.10196503251791,0.17935903,29.327337,29.244675,0.0228157434612512,0.7257072,43
eng,curriculum,0,578,0.8624574,0.8691028,-0.2310521155595779,1.4251962e-05,0.33960667,0.3374126,0.0506534576416015,0.25225163,44
eng,curriculum,1,578,0.5358735,0.54414237,-0.1665672808885574,0.00073898153,3.3323975,3.3041058,0.046111311763525,0.25984293,44
eng,curriculum,2,578,0.5066147,0.5107384,-0.1197472438216209,0.02122238,5.1448607,5.144761,0.0001568076841067,0.9969919,44
eng,curriculum,3,578,0.52950436,0.53160006,-0.0663059204816818,0.19700092,5.9538035,5.9700027,-0.0229043327271938,0.5780892,44
eng,curriculum,4,578,0.5508127,0.5514096,-0.0195117834955453,0.708456,6.671765,6.709017,-0.0474579595029354,0.26748627,44
eng,curriculum,5,578,0.5552616,0.5552947,-0.0011332752183079,0.9834746,7.624939,7.682717,-0.0700146928429603,0.13118707,44
eng,curriculum,6,578,0.56894964,0.56936646,-0.0143716158345341,0.7994358,7.9430537,7.993151,-0.0568170361220836,0.22114168,44
eng,curriculum,7,578,0.5785701,0.5789034,-0.0111901145428419,0.84515584,8.024111,8.062069,-0.0424410440027713,0.35515204,44
eng,curriculum,8,578,0.5864845,0.5876922,-0.038633681833744,0.50474596,7.9887533,8.000825,-0.013520261272788,0.76736087,44
eng,curriculum,9,578,0.59299046,0.59471065,-0.050248883664608,0.39133707,7.8836546,7.8826942,0.0010615291539579,0.9813336,44
eng,curriculum,10,578,0.603641,0.60660845,-0.0776946768164634,0.17759839,7.823047,7.801967,0.0228222999721765,0.61397725,44
eng,curriculum,11,578,0.6242743,0.6292636,-0.1149758026003837,0.046072654,7.6805778,7.649645,0.0321562923491001,0.4732749,44
eng,curriculum,12,578,0.66502374,0.6704362,-0.1211367920041084,0.034392405,23.4522,23.401758,0.0189591757953166,0.7040516,44
nld,curriculum,0,245,0.8621742,0.8653923,-0.1207861453294754,0.13242722,0.33889824,0.33931965,-0.0098791569471359,0.8734862,44
nld,curriculum,1,245,0.5224261,0.52924526,-0.1499961614608764,0.054463066,3.3677585,3.3644788,0.005584658589214,0.93134433,44
nld,curriculum,2,245,0.48950312,0.49751285,-0.244479089975357,0.001506906,5.2714424,5.278181,-0.0110870180651545,0.8653951,44
nld,curriculum,3,245,0.51304805,0.5211661,-0.2675840258598327,0.0006346878,6.0793557,6.10153,-0.0331387668848037,0.6039788,44
nld,curriculum,4,245,0.5325234,0.5390768,-0.2203777581453323,0.004769195,6.7956243,6.8521214,-0.0764252915978431,0.24763764,44
nld,curriculum,5,245,0.53912044,0.542865,-0.12595896422863,0.120435074,7.7298756,7.8099756,-0.1011254861950874,0.15674014,44
nld,curriculum,6,245,0.5559589,0.5582502,-0.0800005942583084,0.33388767,8.017447,8.117919,-0.1200054213404655,0.09587436,44
nld,curriculum,7,245,0.5648189,0.56673235,-0.0634275376796722,0.436895,8.074839,8.195539,-0.1439131796360016,0.049143936,44
nld,curriculum,8,245,0.57325155,0.5752166,-0.0629348158836364,0.45986506,7.9951015,8.112435,-0.1419314444065094,0.056894425,44
nld,curriculum,9,245,0.57560664,0.57839906,-0.0846637561917305,0.3235319,7.8504815,7.9740424,-0.1465457081794738,0.049450908,44
nld,curriculum,10,245,0.5819432,0.58591545,-0.1108329743146896,0.19871671,7.7365985,7.8462605,-0.1279961317777633,0.08242013,44
nld,curriculum,11,245,0.60048014,0.60443014,-0.1010549515485763,0.25609344,7.5626197,7.6766014,-0.1279755681753158,0.08079453,44
nld,curriculum,12,245,0.642708,0.64446336,-0.0426510460674762,0.6182517,23.208916,23.586033,-0.1564185321331024,0.044644564,44
zho,curriculum,0,279,0.7671289,0.7760058,-0.2676885724067688,0.00093086576,0.4851259,0.47267202,0.182823896408081,0.00031207586,44
zho,curriculum,1,279,0.4414091,0.44689056,-0.1296309679746627,0.11671779,4.748012,4.6551056,0.1207230910658836,0.034370326,44
zho,curriculum,2,279,0.44838423,0.45232862,-0.1074214577674865,0.18853256,6.4748755,6.3910036,0.0981727465987205,0.10817488,44
zho,curriculum,3,279,0.46168408,0.4652273,-0.100312627851963,0.21760017,7.419138,7.3461704,0.0759218037128448,0.227132,44
zho,curriculum,4,279,0.47795394,0.4814345,-0.0992527678608894,0.22001357,8.251994,8.179511,0.0668104365468025,0.30188957,44
zho,curriculum,5,279,0.48472884,0.48739377,-0.077313981950283,0.3295065,9.228667,9.16399,0.0546441785991191,0.42085943,44
zho,curriculum,6,279,0.4986647,0.50162095,-0.0848388895392417,0.26018894,9.62733,9.556501,0.0570101290941238,0.39619058,44
zho,curriculum,7,279,0.5163693,0.5179352,-0.0417795181274414,0.5679256,9.779569,9.700564,0.0634452924132347,0.33087835,44
zho,curriculum,8,279,0.52762765,0.52880365,-0.0286045651882886,0.69417983,9.756393,9.670858,0.068603441119194,0.28346282,44
zho,curriculum,9,279,0.53542626,0.5354116,0.0003173736913595,0.9964153,9.68534,9.58517,0.0807897672057151,0.20636517,44
zho,curriculum,10,279,0.54613763,0.54440284,0.0350998155772686,0.6157191,9.611953,9.496052,0.0941198244690895,0.14236628,44
zho,curriculum,11,279,0.5667413,0.5611647,0.0986939072608947,0.1609142,9.483821,9.375044,0.0863515883684158,0.18925992,44
zho,curriculum,12,279,0.6045029,0.5989934,0.0915930271148681,0.20704068,28.974371,28.881266,0.0258216895163059,0.70119876,44
eng,curriculum,0,578,0.8650821,0.8722069,-0.2425881028175354,4.1973426e-06,0.33281443,0.32947907,0.0748834535479545,0.08462589,45
eng,curriculum,1,578,0.55859005,0.56635875,-0.1618459671735763,0.001062765,3.2375145,3.2038102,0.0554751195013523,0.18633018,45
eng,curriculum,2,578,0.54064906,0.5439034,-0.0940215587615966,0.06655315,4.871864,4.8626275,0.0145789356902241,0.7322268,45
eng,curriculum,3,578,0.5494931,0.5504052,-0.0288146380335092,0.5782858,5.7424,5.755035,-0.0180220212787389,0.67402214,45
eng,curriculum,4,578,0.566958,0.5670698,-0.003810511669144,0.9418597,6.465332,6.494987,-0.0386886857450008,0.37728563,45
eng,curriculum,5,578,0.5802717,0.5798042,0.0162021145224571,0.7666125,7.2953715,7.3383594,-0.0515261478722095,0.26414642,45
eng,curriculum,6,578,0.58671546,0.5869745,-0.0087248403578996,0.8748772,7.737748,7.789446,-0.0564347654581069,0.23418061,45
eng,curriculum,7,578,0.59350693,0.59487873,-0.0446684844791889,0.4103243,7.857514,7.9002614,-0.0452824980020523,0.33194104,45
eng,curriculum,8,578,0.5966812,0.59921646,-0.0793580710887909,0.14590284,7.8485603,7.863224,-0.01574875600636,0.73012996,45
eng,curriculum,9,578,0.5992232,0.60257095,-0.1000589653849601,0.07145276,7.79637,7.785746,0.0115151684731245,0.7982955,45
