model,group,seed,layer,pair,retrieval_p1,retrieval_p1_nn,cos_gap,cka,centroid_dist,median_pct_rank,mean_pct_rank,mrr,retrieval_p5,median_rank
par,switched,42,12,eng-nld,0.683049147442327,0.3681043129388164,0.1599274575710296,0.6914409399032593,0.7174453139305115,1.0,0.9971863381308584,0.7891453779159601,0.9192577733199598,1.0
par,switched,42,12,eng-zho,0.0812437311935807,0.0320962888665998,0.0567701011896133,0.5945428013801575,1.15618634223938,0.9578313253012049,0.8759889105066203,0.1495493330202509,0.1980942828485456,43.0
par,switched,42,12,nld-zho,0.0677031093279839,0.0155466399197592,0.0558163747191429,0.5703837275505066,1.1629303693771362,0.9578313253012049,0.8786590695782126,0.1323908070829077,0.1835506519558676,43.0
par-s43,switched,43,0,eng-nld,0.3630892678034102,0.2001003009027081,0.0695707201957702,0.6677935123443604,0.5696455836296082,0.9949799196787148,0.9292128393211764,0.4298366273898044,0.4979939819458375,6.0
par-s43,switched,43,0,eng-zho,0.0406218655967903,0.0200601805416248,0.0339091420173645,0.5341672301292419,0.9726289510726928,0.8268072289156627,0.7554163494499563,0.0698344273457431,0.0852557673019057,173.5
par-s43,switched,43,0,nld-zho,0.0351053159478435,0.0155466399197592,0.0316535830497741,0.5274751782417297,0.9913361668586732,0.8087349397590362,0.7388022501238657,0.0641183490420444,0.0787362086258776,191.5
par-s43,switched,43,1,eng-nld,0.7357071213640922,0.5030090270812437,0.0834971666336059,0.6533461809158325,0.3798345923423767,1.0,0.9947019774181984,0.7966803010576688,0.8681043129388164,1.0
par-s43,switched,43,1,eng-zho,0.1268806419257773,0.0561685055165496,0.0414418578147888,0.5560991764068604,0.4991795718669891,0.9718875502008032,0.9063606482096892,0.2006584195084636,0.2597793380140421,29.0
par-s43,switched,43,1,nld-zho,0.100802407221665,0.0446339017051153,0.037005066871643,0.5467451810836792,0.5156967043876648,0.9568273092369478,0.8882299508968672,0.1629839010418801,0.2086258776328987,44.0
par-s43,switched,43,2,eng-nld,0.7151454363089268,0.4648946840521564,0.0503467917442321,0.7145805954933167,0.2975366711616516,1.0,0.9942810358787204,0.7805508056049013,0.8595787362086259,1.0
par-s43,switched,43,2,eng-zho,0.1374122367101304,0.0536609829488465,0.0300291180610656,0.6139954924583435,0.379936933517456,0.9799196787148594,0.9295401264033064,0.2201486050091278,0.2848545636910732,21.0
par-s43,switched,43,2,nld-zho,0.1083249749247743,0.0481444332998997,0.0278809666633605,0.6074705123901367,0.3930145502090454,0.9698795180722892,0.9103167937547584,0.1810317492736858,0.2392176529588766,31.0
par-s43,switched,43,3,eng-nld,0.7998996990972919,0.6404212637913742,0.0764459371566772,0.6689972281455994,0.3017398416996002,1.0,0.9973318550027592,0.8502124795635506,0.9132397191574724,1.0
par-s43,switched,43,3,eng-zho,0.1680040120361083,0.0922768304914744,0.0423306226730346,0.5730167031288147,0.4055770337581634,0.9864457831325302,0.9439518354259566,0.2594245637438212,0.3470411233701103,14.5
par-s43,switched,43,3,nld-zho,0.1429287863590772,0.0732196589769308,0.0382129549980163,0.5605401992797852,0.4143688380718231,0.9784136546184738,0.9261876996451202,0.2187560643585736,0.2818455366098295,22.5
par-s43,switched,43,4,eng-nld,0.8691073219658977,0.761283851554664,0.0989505648612976,0.6750153303146362,0.3124808669090271,1.0,0.9989753396736392,0.9076048548574884,0.9543630892678034,1.0
par-s43,switched,43,4,eng-zho,0.2146439317953861,0.1293881644934804,0.0522107481956481,0.5813209414482117,0.4146542847156524,0.9919678714859438,0.9574813798826196,0.3138190560245345,0.413741223671013,9.0
par-s43,switched,43,4,nld-zho,0.1770310932798395,0.1033099297893681,0.0473034977912902,0.5694279074668884,0.4259095191955566,0.9869477911646586,0.9445288677276812,0.2672712730129205,0.3465396188565697,14.0
par-s43,switched,43,5,eng-nld,0.9007021063189569,0.7853560682046139,0.1015767455101013,0.6859475374221802,0.3209410905838012,1.0,0.9993640560234922,0.9317737742866922,0.9714142427281846,1.0
par-s43,switched,43,5,eng-zho,0.2487462387161484,0.1389167502507522,0.0536280870437622,0.6001597046852112,0.4362772107124328,0.993975903614458,0.965349864855611,0.3546981709632227,0.4638916750250752,7.0
par-s43,switched,43,5,nld-zho,0.1960882647943831,0.1038114343029087,0.046934962272644,0.5797457695007324,0.4380389451980591,0.9899598393574296,0.9519910132002432,0.2939105104364034,0.3856569709127382,11.0
par-s43,switched,43,6,eng-nld,0.9072216649949848,0.7848545636910732,0.1192319989204406,0.6950370073318481,0.3398951590061188,1.0,0.9994702984455374,0.93602044855262,0.970912738214644,1.0
par-s43,switched,43,6,eng-zho,0.2818455366098295,0.1429287863590772,0.0575543045997619,0.6151619553565979,0.4823255836963653,0.9949799196787148,0.9684359302808022,0.3868657195762973,0.4939819458375125,6.0
par-s43,switched,43,6,nld-zho,0.2066198595787362,0.1143430290872617,0.0529552102088928,0.5921980738639832,0.4794686138629913,0.9919678714859438,0.9573892359810356,0.3086644841198186,0.4157472417251755,9.0
par-s43,switched,43,7,eng-nld,0.9037111334002006,0.7893681043129388,0.1422616839408874,0.7035788893699646,0.3789922595024109,1.0,0.9994733195570646,0.9345628959935331,0.9754262788365096,1.0
par-s43,switched,43,7,eng-zho,0.279839518555667,0.1323971915747241,0.0643802881240844,0.6224106550216675,0.5220070481300354,0.9959839357429718,0.969800969172578,0.3893617851707263,0.5105315947843531,5.0
par-s43,switched,43,7,nld-zho,0.2196589769307924,0.1128385155466399,0.0601799488067626,0.5927493572235107,0.526852011680603,0.9919678714859438,0.958503019097453,0.3203009210834964,0.4172517552657974,9.0
par-s43,switched,43,8,eng-nld,0.8906720160481444,0.7743229689067201,0.1710656285285949,0.7083061337471008,0.4422037899494171,1.0,0.9993439152799763,0.9263205505779222,0.9724172517552658,1.0
par-s43,switched,43,8,eng-zho,0.249247743229689,0.1173520561685055,0.0722653269767761,0.6245182156562805,0.6048492193222046,0.9949799196787148,0.9669228569241862,0.3614664672014872,0.4819458375125376,6.0
